Pioneer Challenge JULY 12 2020  ;Pioneer Preliminary JULY 11 2020  ;Pioneer League JULY 9 2020  ;Pioneer League JULY 6 2020  ;Pioneer League JULY 2 2020  ;Pioneer Preliminary JULY 2 2020  ;Pioneer League JUNE 29 2020  ;Pioneer Challenge JUNE 28 2020  ;Pioneer Preliminary JUNE 27 2020  ;Pioneer Preliminary JUNE 25 2020  ;Pioneer League JUNE 25 2020  ;Pioneer Challenge JUNE 22 2020  ;Pioneer League JUNE 22 2020  ;Pioneer Challenge JUNE 21 2020  ;Pioneer Preliminary JUNE 20 2020  ;Pioneer Preliminary JUNE 18 2020  ;Pioneer League JUNE 18 2020  ;Pioneer Preliminary JUNE 17 2020  ;Pioneer Challenge JUNE 15 2020  ;Pioneer League JUNE 15 2020  ;Pioneer Challenge JUNE 14 2020  ;Pioneer Preliminary JUNE 11 2020  ;Pioneer League JUNE 11 2020  ;Pioneer Preliminary JUNE 10 2020  ;Pioneer Showcase JUNE 8 2020  ;Pioneer League JUNE 8 2020  ;Pioneer Challenge JUNE 7 2020  ;Pioneer Preliminary JUNE 6 2020  
Mono Black Aggro;Lotus Breach;Esper Control;Mono Black Aggro;Other;Inverter;Mono Black Aggro;Mono Red Aggro;Lotus Breach;Heliod Ballista;Naya Winota;Other;UW Control;Inverter;Lotus Breach;GB Delirium;Other;Heliod Ballista;Inverter;UW Control;GB Delirium;Inverter;UW Control;Heliod Ballista;Bant Spirits;Niv-Mizzet Reborn / Esper Control / Bant Control;Inverter;Inverter
Heliod Ballista;UW Spirits;Heliod Ballista;Feather Heroic;Mono Red Aggro;Inverter;Esper Control;Inverter;Inverter;Mono Red Aggro;Other;Vampires;Other;GB Delirium;Inverter;Inverter;Other;Naya Winota;UR Ensoul;Naya Winota;Other;Heliod Ballista;Other;Inverter;Inverter;Mono Red Aggro;Mono Red Aggro;Other
Inverter;Mono Black Aggro;UR Ensoul;Orzhov Sram Auras;Niv-Mizzet Reborn;GB Delirium;UR Ensoul;Other;Inverter;Vampires;Inverter;Inverter;Vampires;Heliod Ballista;Lotus Breach;Heliod Ballista;Heliod Ballista;Esper Control;UW Control;Green Stompy;UR Ensoul;Mono Red Aggro;Other;Bant Spirits;Vampires;Other;Esper Control;Inverter
Mono Black Aggro;Lotus Breach;Temur Reclamation;Mono Red Aggro;Other;Other;Mono Red Aggro;Inverter;Other;Heliod Ballista;Mono Red Aggro;Heliod Ballista;Green Stompy;Mono Red Aggro;Lotus Breach;Rally the Ancestors;Inverter;Other;Mono Red Aggro;Mono Red Aggro;Other;Other;Other;Vampires;Naya Winota;Mono Red Aggro;Mono Black Aggro;Esper Control
Mono Red Aggro;Other;Other;Vampires;Vampires;Esper Control;Orzhov Sram Auras;Inverter;Lotus Breach;Vampires;Other;Lotus Breach;Other;Mono Red Aggro;Inverter;Heliod Ballista;Vampires;Inverter;Lotus Breach;Other;Heliod Ballista;Mono Red Aggro;Inverter;Bant Spirits;Inverter;Heliod Ballista;Inverter;Lotus Breach
Niv-Mizzet Reborn;Mono Black Aggro;Naya Winota;GB Delirium;Green Stompy;Other;Bant Control;Heliod Ballista;Other;Mono Red Aggro;Niv-Mizzet Reborn;Mono Red Aggro;Esper Control;Naya Winota;Inverter;Esper Control;Other;Green Stompy;Bant Spirits;Lotus Breach;Niv-Mizzet Reborn;Lotus Breach;Other;Bant Spirits;Lotus Breach;Inverter;Other;Heliod Ballista
Mono Red Aggro;Inverter;Bant Spirits;Naya Winota;Mono Red Aggro;Inverter;Niv-Mizzet Reborn;UW Spirits;Inverter;Other;Other;Other;Bant Control;Lotus Breach;UR Ensoul;Naya Winota;UW Control;Heliod Ballista;Vampires;Heliod Ballista;Esper Control;Vampires;Other;Esper Control;Other;Inverter;Inverter;Esper Control
Esper Control;Lotus Breach;Other;Other;Orzhov Sram Auras;Inverter;Mono Red Aggro;GB Delirium;Mono Red Aggro;Esper Control;Other;Mono Red Aggro;Inverter;Heliod Ballista;Inverter;Vampires;Mono Black Aggro;Lotus Breach;GB Delirium;Other;Mono Red Aggro;Inverter;Esper Control;Bant Spirits;Mono Red Aggro;Vampires;Other;Lotus Breach
Mono Red Aggro;Inverter;UW Spirits;Other;Other;Other;Other;Heliod Ballista;Other;GB Delirium;Vampires;Inverter;Orzhov Sram Auras;Inverter;Inverter;Inverter;Other;Inverter;Heliod Ballista;Other;Inverter;Lotus Breach;UR Ensoul;Naya Winota;Other;Other;Inverter;Lotus Breach
Naya Winota;Mono Red Aggro;Niv-Mizzet Reborn;Other;Inverter;GB Delirium;GB Delirium;Mono Red Aggro;Other;Heliod Ballista;;GB Delirium;Other;Mono Red Aggro;;;Other;;Niv-Mizzet Reborn / Bant Control;Other;Inverter;Lotus Breach;Heliod Ballista;Other;Inverter;Inverter;Esper Control;Inverter
Inverter;;Lotus Breach;Inverter;Other;Inverter;Other;Esper Control;;;;Lotus Breach;Other;Lotus Breach;;;Bant Control;;Heliod Ballista;Other;Vampires;GB Delirium;Mono Black Aggro;UW Spirits;Inverter;Esper Control;Mono Red Aggro;Feather Heroic
Mono Red Aggro;;Other;Heliod Ballista;Mono Black Aggro;;Other;Heliod Ballista;;;;Mono Red Aggro;Other;Esper Control;;;Bant Spirits;;Lotus Breach;Other;Esper Control;Heliod Ballista;GB Delirium;Mono Red Aggro;Other;UR Ensoul;Niv-Mizzet Reborn / Bant Control;Green Stompy
Niv-Mizzet Reborn;;Other;UR Ensoul;Naya Winota;;Naya Winota;Mono Red Aggro;;;;UR Ensoul;Bant Spirits;GB Delirium;;;Other;;Naya Winota;Other;Heliod Ballista;Bant Spirits;Mono Red Aggro;Other;Lotus Breach;Naya Winota;Mono Red Aggro;Mono Black Aggro
Heliod Ballista;;Bant Control;Other;Other;;Other;Other;;;;Vampires;Other;Other;;;Other;;Mono Red Aggro;Other;Naya Winota;Rally the Ancestors;Orzhov Sram Auras;Vampires;Heliod Ballista;Other;Inverter;Inverter
Inverter;;Mono Black Aggro;Esper Control;Heliod Ballista;;Esper Control;Inverter;;;;Other;Other;Inverter;;;Other;;Other;Other;Vampires;;Other;Naya Winota;Inverter;Other;Esper Control;Mono Red Aggro
Esper Control;;Vampires;Other;GB Delirium;;Lotus Breach;Lotus Breach;;;;Inverter;Lotus Breach;UR Ensoul;;;Other;;Mono Red Aggro;Heliod Ballista;Esper Control;;Vampires;;Inverter;Heliod Ballista;Mono Red Aggro;Inverter
Inverter;;Inverter;UW Spirits;Esper Control;;Other;Inverter;;;;Lotus Breach;Other;Lotus Breach;;;Naya Winota;;Inverter;Inverter;Inverter;;Other;;Heliod Ballista;Other;Other;Other
Mono Red Aggro;;Mono Red Aggro;Other;Lotus Breach;;Other;Naya Winota;;;;UR Ensoul;Other;Other;;;Other;;Mono Red Aggro;Vampires;Bant Spirits;;Heliod Ballista;;UW Control;Green Stompy;Bant Spirits;Inverter
Heliod Ballista;;Orzhov Sram Auras;Lotus Breach;;;Other;Inverter;;;;Esper Control;Other;Lotus Breach;;;GB Delirium;;Vampires;Esper Control;GB Delirium;;Bant Control;;Inverter;GB Delirium;Niv-Mizzet Reborn;Heliod Ballista
Mono Red Aggro;;;;;;Inverter;Heliod Ballista;;;;Lotus Breach;Mono Red Aggro;Green Stompy;;;UW Control;;Mono Red Aggro;Niv-Mizzet Reborn / Bant Control;Lotus Breach;;Bant Spirits;;Mono Black Aggro;Mono Black Aggro;Other;Green Stompy
Bant Spirits;;;;;;Heliod Ballista;Bant Spirits;;;;Mono Red Aggro;Other;UW Control;;;Mono Red Aggro;;Mono Red Aggro;UR Ensoul;Vampires;;Naya Winota;;Lotus Breach;Orzhov Sram Auras;Lotus Breach;Inverter
Other;;;;;;Vampires;Mono Red Aggro;;;;Lotus Breach;Heliod Ballista;Lotus Breach;;;Heliod Ballista;;Inverter;Other;Other;;Lotus Breach;;Other;Rally the Ancestors;Mono Red Aggro;GB Delirium
Lotus Breach;;;;;;;Heliod Ballista;;;;UR Ensoul;Other;Inverter;;;Mono Red Aggro;;Orzhov Sram Auras;Esper Control;Niv-Mizzet Reborn / Bant Control;;Niv-Mizzet Reborn / Esper Control / Bant Control;;Inverter;Lotus Breach;Lotus Breach;Other
Vampires;;;;;;;Mono Red Aggro;;;;Inverter;Niv-Mizzet Reborn;Inverter;;;;;Mono Red Aggro;Mono Red Aggro;Inverter;;UW Spirits;;Other;Bant Spirits;Arclight Phoenix;Other
Niv-Mizzet Reborn;;;;;;;GB Delirium;;;;Bant Spirits;Other;Vampires;;;;;Mono Red Aggro;Mono Black Aggro;Heliod Ballista;;;;Mono Red Aggro;Other;Heliod Ballista;Mono Black Aggro
Inverter;;;;;;;Vampires;;;;UW Control;Other;Vampires;;;;;Esper Control;Mono Green Ramp;Mono Red Aggro;;;;Mono Black Aggro;Heliod Ballista;GB Delirium;Other
GB Delirium;;;;;;;Other;;;;Mono Red Aggro;GB Delirium;Vampires;;;;;Inverter;Other;Inverter;;;;Inverter;;Mono Black Aggro;Mono Black Aggro
Inverter;;;;;;;Vampires;;;;Other;Other;Lotus Breach;;;;;Naya Winota;Heliod Ballista;Mono Black Aggro;;;;Other;;Inverter;Orzhov Sram Auras
Inverter;;;;;;;Lotus Breach;;;;Mono Black Aggro;Mono Red Aggro;Lotus Breach;;;;;Heliod Ballista;Mono Red Aggro;Vampires;;;;Lotus Breach;;Inverter;Lotus Breach
UW Spirits;;;;;;;UR Ensoul;;;;Mono Red Aggro;Other;Other;;;;;Vampires;Other;Lotus Breach;;;;Inverter;;Inverter;
Heliod Ballista;;;;;;;Esper Control;;;;Inverter;Heliod Ballista;Other;;;;;Inverter;Other;Orzhov Sram Auras;;;;Heliod Ballista;;Inverter;
Other;;;;;;;Inverter;;;;Other;;Other;;;;;Inverter;Feather Heroic;Mono Black Aggro;;;;Inverter;;Niv-Mizzet Reborn / Bant Control;
;;;;;;;;;;;;;;;;;;;Orzhov Sram Auras;;;;;;;;
;;;;;;;;;;;;;;;;;;;Bant Control;;;;;;;;
;;;;;;;;;;;;;;;;;;;GB Delirium;;;;;;;;
